Code INSEE,Commune,Population municipale,Année
77067,CESSON,7419,2006
77384,Réau,1061,2009
91286,Grigny,27179,2011
91521,Ris-Orangis,26988,2011
77067,Cesson,9568,2013
91553,Saint-Germain-lès-Corbeil,7473,2013
77067,CESSON,2283,1968
91225,ETIOLLES,1208,1968
77122,Combs-la-Ville,22110,2014
91659,Villabé,4847,2008
91573,SAINT-PIERRE-DU-PERRAY,3342,1990
77495,VERT-SAINT-DENIS,7368,1990
77445,Savigny-le-Temple,28599,2010
77495,VERT-SAINT-DENIS,3896,1975
91179,LE COUDRAY-MONTCEAUX,2800,1999
91521,RIS ORANGIS,23511,1968
91521,RIS-ORANGIS,26691,2007
91225,Étiolles,3098,2008
77251,Lieusaint,10210,2008
91182,Courcouronnes,14029,2009
91225,ETIOLLES,2548,1999
77296,MOISSY-CRAMAYEL,14298,1999
77384,REAU,972,2006
91659,VILLABE,4856,2006
77067,Cesson,8572,2010
91179,Le Coudray-Montceaux,4730,2013
91435,Morsang-sur-Seine,500,2009
91617,Tigery,3244,2013
91182,COURCOURONNES,4309,1975
77067,CESSON,7699,1999
77384,REAU,705,1999
77384,REAU,497,1968
77122,Combs-la-Ville,21324,2008
77384,Réau,1548,2012
77495,Vert-Saint-Denis,6986,2011
91225,Étiolles,3101,2011
91659,Villabé,5010,2011
91286,GRIGNY,2938,1968
91340,LISSES,6860,1990
91182,COURCOURONNES,14336,2007
91225,ETIOLLES,3040,2007
91179,LE COUDRAY-MONTCEAUX,2248,1982
91553,SAINT-GERMAIN-LES-CORBEIL,4462,1982
77067,CESSON,7728,2007
77122,Combs-la-Ville,22031,2012
77122,Combs-la-Ville,22086,2013
91600,SOISY-SUR-SEINE,3459,1975
91086,BONDOUFLE,2097,1975
91521,RIS-ORANGIS,27249,1975
91600,Soisy-sur-Seine,7150,2009
91228,EVRY,7113,1968
91286,GRIGNY,24920,1990
77122,COMBS-LA-VILLE,21603,2006
91435,Morsang-sur-Seine,541,2014
91659,Villabé,5380,2014
91521,RIS-ORANGIS,24925,1982
91182,COURCOURONNES,13954,1999
91573,SAINT-PIERRE-DU-PERRAY,5801,1999
77122,COMBS-LA-VILLE,20953,1999
77495,VERT-SAINT-DENIS,7081,2007
77326,Nandy,5888,2012
77445,SAVIGNY LE TEMPLE,828,1968
91174,CORBEIL ESSONNES,32192,1968
91182,COURCOURONNES,179,1968
91553,SAINT-GERMAIN-LES-CORBEIL,6141,1990
91435,MORSANG-SUR-SEINE,512,2007
77251,LIEUSAINT,657,1975
91225,Étiolles,3073,2010
91286,Grigny,26638,2010
91600,Soisy-sur-Seine,7048,2010
91286,GRIGNY,25653,1975
77296,Moissy-Cramayel,17452,2012
91174,Corbeil-Essonnes,43086,2010
91577,Saintry-sur-Seine,5124,2009
91617,Tigery,2918,2011
91659,Villabé,5327,2013
77326,NANDY,327,1975
91617,TIGERY,472,1968
91553,Saint-Germain-lès-Corbeil,7310,2012
77495,Vert-Saint-Denis,7007,2012
77495,Vert-Saint-Denis,7156,2014
91182,COURCOURONNES,14409,2006
91174,Corbeil-Essonnes,47632,2013
91225,Étiolles,3169,2013
91573,Saint-Pierre-du-Perray,9758,2013
77326,Nandy,5814,2010
91340,LISSES,738,1975
91659,VILLABE,1980,1975
91435,MORSANG-SUR-SEINE,287,1982
91179,Le Coudray-Montceaux,4430,2008
91286,Grigny,27196,2008
91573,Saint-Pierre-du-Perray,7844,2008
91225,Étiolles,3281,2014
91521,Ris-Orangis,27304,2014
91340,Lisses,7316,2011
91435,Morsang-sur-Seine,524,2011
91179,Le Coudray-Montceaux,4792,2014
91174,CORBEIL-ESSONNES,41308,2007
91179,Le Coudray-Montceaux,4563,2009
91228,Évry,52403,2009
91228,Évry,52184,2011
91225,ETIOLLES,1570,1982
91228,EVRY,29471,1982
91174,Corbeil-Essonnes,49373,2014
77067,CESSON,4948,1975
91174,CORBEIL-ESSONNES,38859,1975
91340,Lisses,7447,2012
91086,BONDOUFLE,9477,2006
91573,Saint-Pierre-du-Perray,8618,2011
77326,NANDY,5429,1990
91435,MORSANG-SUR-SEINE,350,1990
91521,Ris-Orangis,27312,2013
91577,Saintry-sur-Seine,5343,2013
91286,GRIGNY,26180,1982
91577,SAINTRY-SUR-SEINE,3642,1982
77326,Nandy,5852,2008
91228,EVRY,15354,1975
91573,SAINT-PIERRE-DU-PERRAY,1360,1975
91617,TIGERY,2062,2007
91182,Courcouronnes,13812,2010
91174,CORBEIL-ESSONNES,37846,1982
91617,TIGERY,439,1982
77122,Combs-la-Ville,21427,2009
91435,Morsang-sur-Seine,491,2008
91521,Ris-Orangis,27006,2008
91174,Corbeil-Essonnes,46017,2012
77296,MOISSY-CRAMAYEL,12263,1990
91573,Saint-Pierre-du-Perray,8083,2009
91553,Saint-Germain-lès-Corbeil,7242,2011
91435,MORSANG-SUR-SEINE,162,1975
91435,MORSANG SUR SEINE,159,1968
91174,CORBEIL-ESSONNES,40345,1990
91182,COURCOURONNES,13262,1990
77296,Moissy-Cramayel,17272,2010
91340,LISSES,7206,1999
91600,SOISY-SUR-SEINE,7072,1999
77296,Moissy-Cramayel,17606,2014
91228,Évry,53699,2014
91577,Saintry-sur-Seine,5498,2014
91086,BONDOUFLE,9451,2007
77067,CESSON,7522,1982
77296,MOISSY-CRAMAYEL,5195,1982
77495,Vert-Saint-Denis,7012,2008
77445,Savigny-le-Temple,29555,2012
91182,Courcouronnes,13602,2012
91600,Soisy-sur-Seine,6795,2012
77251,Lieusaint,12131,2014
77445,Savigny-le-Temple,30172,2014
91182,Courcouronnes,13696,2011
77122,COMBS LA VILLE,6192,1968
91086,BONDOUFLE,285,1968
91179,LE COUDRAY-MONTCEAUX,2494,1990
91617,TIGERY,1140,1990
91659,VILLABE,2995,1990
77251,LIEUSAINT,9783,2007
91573,Saint-Pierre-du-Perray,9370,2012
77384,Réau,1774,2014
91182,Courcouronnes,13265,2014
91179,LE COUDRAY-MONTCEAUX,4250,2007
91553,SAINT-GERMAIN-LES-CORBEIL,7177,2007
77067,Cesson,9332,2012
91179,LE COUDRAY-MONTCEAUX,969,1975
77326,NANDY,5903,2007
77251,LIEUSAINT,800,1968
77495,VERT SAINT DENIS,2799,1968
91086,Bondoufle,9298,2010
77445,SAVIGNY-LE-TEMPLE,11835,1982
91553,SAINT-GERMAIN-LES-CORBEIL,7051,1999
91174,Corbeil-Essonnes,41666,2008
91553,SAINT-GERMAIN-LES-CORBEIL,7161,2006
91174,Corbeil-Essonnes,42456,2009
77445,Savigny-le-Temple,28113,2009
91577,Saintry-sur-Seine,5193,2012
91617,Tigery,3118,2012
77296,MOISSY CRAMAYEL,2364,1968
77384,REAU,525,1975
91228,EVRY,45531,1990
77122,COMBS-LA-VILLE,19973,1990
77445,SAVIGNY-LE-TEMPLE,26905,2007
77251,Lieusaint,10577,2010
91179,Le Coudray-Montceaux,4708,2010
91553,Saint-Germain-lès-Corbeil,7174,2010
91573,Saint-Pierre-du-Perray,8350,2010
77384,Réau,1775,2013
77495,Vert-Saint-Denis,7154,2013
91577,SAINTRY SUR SEINE,1909,1968
91659,VILLABE,1727,1968
91225,ETIOLLES,2982,2006
77251,LIEUSAINT,6365,1999
91228,EVRY,49437,1999
91659,VILLABE,4832,1999
77445,SAVIGNY-LE-TEMPLE,2881,1975
77445,Savigny-le-Temple,27757,2008
91340,Lisses,6830,2008
77384,REAU,663,1990
77067,Cesson,9805,2014
91340,LISSES,681,1968
77122,Combs-la-Ville,21908,2011
77384,REAU,509,1982
91182,COURCOURONNES,5071,1982
91179,LE COUDRAY-MONTCEAUX,4070,2006
91174,Corbeil-Essonnes,44223,2011
91174,CORBEIL-ESSONNES,39378,1999
91340,Lisses,7179,2009
77296,MOISSY-CRAMAYEL,3172,1975
91340,LISSES,4343,1982
77326,NANDY,6159,1999
77495,VERT-SAINT-DENIS,7493,1999
91521,RIS-ORANGIS,24436,1999
91659,Villabé,4898,2009
77495,Vert-Saint-Denis,6951,2009
77326,Nandy,5846,2014
91340,Lisses,7650,2014
91228,Évry,53237,2013
91286,Grigny,27716,2013
91174,CORBEIL-ESSONNES,40929,2006
91286,GRIGNY,25981,2006
91577,SAINTRY-SUR-SEINE,5052,2006
91617,Tigery,2757,2010
91179,LE COUDRAY MONTCEAUX,998,1968
91086,Bondoufle,9370,2008
91435,Morsang-sur-Seine,510,2010
77251,Lieusaint,11033,2013
91182,Courcouronnes,13466,2013
91340,Lisses,7579,2013
91573,SAINT-PIERRE-DU-PERRAY,7733,2006
77296,Moissy-Cramayel,17243,2011
91228,EVRY,52802,2007
91086,Bondoufle,9152,2012
91286,Grigny,27713,2012
91086,BONDOUFLE,8120,1982
77251,Lieusaint,10441,2011
91179,Le Coudray-Montceaux,4725,2011
91286,Grigny,28295,2014
91521,Ris-Orangis,26800,2012
91340,LISSES,6871,2007
91600,SOISY-SUR-SEINE,7200,2007
91086,Bondoufle,9334,2009
91225,Étiolles,3095,2009
91086,Bondoufle,9198,2013
91228,EVRY,52651,2006
91617,TIGERY,1767,2006
77445,SAVIGNY-LE-TEMPLE,25130,2006
91182,Courcouronnes,14101,2008
91435,MORSANG-SUR-SEINE,380,1999
77445,SAVIGNY-LE-TEMPLE,22339,1999
77122,COMBS-LA-VILLE,21450,2007
91225,Étiolles,3135,2012
91553,Saint-Germain-lès-Corbeil,7446,2014
91573,SAINT PIERRE DU PERRAY,611,1968
91521,RIS-ORANGIS,24677,1990
91577,SAINTRY-SUR-SEINE,5190,2007
91521,Ris-Orangis,27339,2009
77445,SAVIGNY-LE-TEMPLE,18520,1990
91577,SAINTRY-SUR-SEINE,4998,1999
91553,Saint-Germain-lès-Corbeil,7106,2009
77296,Moissy-Cramayel,17186,2008
91179,Le Coudray-Montceaux,4728,2012
77251,Lieusaint,10508,2012
91553,SAINT-GERMAIN-LES-CORBEIL,4379,1975
77296,MOISSY-CRAMAYEL,16549,2006
